Chain ID,Start Time,End Time,Techniques,Tactic,Confidence Score,Explanation,Duration,Num Events
39820,2020-10-08 12:52:10.171,2020-10-08 12:52:55.935,"T1059.001, T1003.001",Multi-Tactic,100.0,"Chain: C:\Windows\sysmon64.exe -> C:\Windows\servicing\TrustedInstaller.exe; powershell/encoded cmd; credential dump indicators. Likely T1059.001, T1003.001. Confidence 100%.",45.764,37
32165,2020-11-03 15:50:18.522,2020-11-03 15:51:06.168,"T1059.001, T1003.001",Multi-Tactic,100.0,"Chain: C:\Windows\sysmon64.exe -> C:\Windows\servicing\TrustedInstaller.exe; powershell/encoded cmd; credential dump indicators. Likely T1059.001, T1003.001. Confidence 100%.",47.646,37
35941,2020-11-03 15:52:57.745,2020-11-03 15:52:59.298,"T1059.001, T1003.001",Multi-Tactic,100.0,"Chain: C:\Windows\System32\HOSTNAME.EXE -> C:\Windows\System32\cmd.exe; powershell/encoded cmd; credential dump indicators. Likely T1059.001, T1003.001. Confidence 100%.",1.553,7
36489,2020-11-03 15:53:02.894,2020-11-03 15:53:03.658,"T1059.001, T1003.001",Multi-Tactic,100.0,"Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> C:\Windows\System32\cmd.exe; powershell/encoded cmd; credential dump indicators. Likely T1059.001, T1003.001. Confidence 100%.",0.764,7
36998,2020-11-03 15:53:06.774,2020-11-03 15:53:07.135,"T1059.001, T1003.001",Multi-Tactic,100.0,"Chain: C:\Windows\System32\cmd.exe; powershell/encoded cmd; credential dump indicators. Likely T1059.001, T1003.001. Confidence 100%.",0.361,7
46496,2020-11-27 08:45:27.703,2020-11-27 08:46:15.114,"T1059.001, T1003.001",Multi-Tactic,100.0,"Chain: C:\Windows\sysmon64.exe -> C:\Windows\servicing\TrustedInstaller.exe; powershell/encoded cmd; credential dump indicators. Likely T1059.001, T1003.001. Confidence 100%.",47.411,37
49852,2020-11-27 08:47:42.299,2020-11-27 08:47:42.404,"T1059.001, T1547.001",Multi-Tactic,100.0,"Chain: C:\Windows\System32\cmd.exe -> C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd; reg add to Run key. Likely T1059.001, T1547.001 (Execution -> Persistence). Confidence 100%.",0.105,5
38293,2021-02-03 16:49:54.463,2021-02-03 16:50:00.630,"T1059.001, T1003.001",Multi-Tactic,100.0,"Chain: C:\Windows\System32\HOSTNAME.EXE -> C:\Windows\System32\whoami.exe; powershell/encoded cmd; credential dump indicators. Likely T1059.001, T1003.001. Confidence 100%.",6.167,6
38474,2021-02-03 16:51:01.623,2021-02-03 16:51:01.783,"T1059.001, T1003.001",Multi-Tactic,100.0,"Chain: C:\Windows\System32\HOSTNAME.EXE -> C:\AtomicRedTeam\atomics\T1003.001\bin\procdump.exe; powershell/encoded cmd; credential dump indicators. Likely T1059.001, T1003.001. Confidence 100%.",0.16,5
38498,2021-02-03 16:51:08.042,2021-02-03 16:51:14.637,"T1059.001, T1003.001",Multi-Tactic,100.0,"Chain: C:\Windows\System32\HOSTNAME.EXE -> C:\AtomicRedTeam\atomics\T1003.001\bin\notprocdump.exe; powershell/encoded cmd; credential dump indicators. Likely T1059.001, T1003.001. Confidence 100%.",6.595,5
